iter	RMSE
0	7300.840249
1	7199.951583
2	7114.085532
3	7027.648242
4	6942.022369
5	6858.845679
6	6784.376628
7	6720.464101
8	6659.904431
9	6594.83155
10	6522.562531
11	6453.866356
12	6392.511053
13	6333.040568
14	6272.566583
15	6210.531053
16	6154.081696
17	6093.260694
18	6041.316551
19	5988.815658
20	5941.299592
21	5892.019581
22	5847.385242
23	5805.296179
24	5764.516631
25	5722.147493
26	5682.931636
27	5647.650495
28	5608.048848
29	5571.747922
30	5539.135585
31	5506.302916
32	5475.587865
33	5446.855637
34	5415.856811
35	5390.950653
36	5364.905406
37	5339.370107
38	5320.604066
39	5296.214218
40	5271.540674
41	5253.269084
42	5229.988776
43	5214.308802
44	5190.195839
45	5168.107861
46	5149.279819
47	5130.861749
48	5117.428522
49	5099.901931
50	5086.169489
51	5070.018899
52	5056.447075
53	5041.81677
54	5025.617013
55	5013.209914
56	4998.079485
57	4985.063428
58	4974.657679
59	4962.848547
60	4950.416187
61	4937.097259
62	4925.531106
63	4914.232597
64	4903.617751
65	4894.083939
66	4883.14364
67	4871.24846
68	4862.835073
69	4852.37797
70	4844.075222
71	4835.966973
72	4828.654577
73	4821.67076
74	4813.369456
75	4804.727154
76	4796.257709
77	4789.813327
78	4783.743323
79	4775.812016
80	4770.480753
81	4763.403986
82	4758.420859
83	4752.121561
84	4745.316242
85	4740.828168
86	4733.181347
87	4727.572957
88	4720.18613
89	4713.985254
90	4708.861627
91	4704.930315
92	4699.128991
93	4692.46671
94	4688.93076
95	4686.185548
96	4681.920807
97	4677.1126
98	4673.32934
99	4670.003844
100	4666.628836
101	4663.911057
102	4660.186556
103	4655.871718
104	4652.098896
105	4648.794255
106	4644.278746
107	4640.342343
108	4636.473868
109	4632.061645
110	4628.324091
111	4625.702318
112	4621.974857
113	4618.202387
114	4615.434867
115	4611.733371
116	4609.522164
117	4606.610949
118	4602.820994
119	4600.120569
120	4597.01145
121	4594.213737
122	4591.549177
123	4588.941909
124	4585.673418
125	4583.729299
126	4581.345758
127	4579.527129
128	4576.944005
129	4574.808118
130	4572.099683
131	4569.449845
132	4567.40944
133	4564.688331
134	4561.781133
135	4559.793692
136	4558.413699
137	4556.621555
138	4554.881261
139	4552.630608
140	4550.281282
141	4548.334783
142	4545.706038
143	4543.841818
144	4540.830721
145	4539.119082
146	4537.58175
147	4536.302124
148	4534.761195
149	4533.367345
150	4530.851568
151	4529.104219
152	4528.143424
153	4526.693495
154	4524.944042
155	4523.542788
156	4521.176094
157	4519.079739
158	4517.563222
159	4515.531531
160	4514.152431
161	4512.586015
162	4511.546242
163	4509.905452
164	4507.669364
165	4506.180165
166	4504.7792
167	4503.248826
168	4502.021778
169	4500.805916
170	4500.061442
171	4498.678118
172	4497.491636
173	4496.784509
174	4495.260635
175	4494.169574
176	4493.67112
177	4492.436331
178	4490.899585
179	4488.98536
180	4487.891159
181	4486.551023
182	4486.083802
183	4484.865355
184	4483.538835
185	4482.426306
186	4481.242733
187	4479.455394
188	4478.585615
189	4477.390361
190	4476.862349
191	4475.453631
192	4474.646388
193	4473.522678
194	4472.034107
195	4470.961864
196	4469.975363
197	4468.281274
198	4467.666815
199	4466.349207
200	4465.151155
201	4464.418701
202	4463.102802
203	4461.530203
204	4460.123722
