iter	Passed	Remaining
0	41	80816
1	85	83736
2	121	79329
3	161	79494
4	204	80388
5	249	81571
6	297	83400
7	339	83226
8	376	81945
9	407	79884
10	447	79543
11	482	78606
12	516	77691
13	559	78137
14	598	77922
15	635	77533
16	676	77586
17	716	77595
18	757	77722
19	798	77726
20	838	77730
21	881	77996
22	935	79083
23	974	78960
24	1015	78912
25	1049	78384
26	1091	78434
27	1133	78505
28	1176	78693
29	1212	78316
30	1249	78063
31	1297	78477
32	1338	78461
33	1375	78236
34	1417	78262
35	1466	78716
36	1508	78721
37	1546	78569
38	1577	78010
39	1606	77425
40	1654	77761
41	1687	77392
42	1728	77366
43	1762	77073
44	1800	76961
45	1845	77127
46	1878	76763
47	1908	76330
48	1936	75845
49	1969	75549
50	1999	75158
51	2038	75128
52	2068	74739
53	2103	74549
54	2140	74452
55	2180	74435
56	2229	74736
57	2270	74771
58	2299	74402
59	2344	74539
60	2387	74629
61	2421	74433
62	2451	74135
63	2494	74224
64	2540	74373
65	2571	74118
66	2610	74080
67	2648	74014
68	2681	73799
69	2723	73846
70	2772	74071
71	2808	73946
72	2842	73786
73	2872	73524
74	2916	73606
75	2945	73329
76	2977	73130
77	3009	72917
78	3044	72795
79	3084	72784
80	3117	72629
81	3161	72703
82	3196	72599
83	3235	72559
84	3269	72436
85	3304	72310
86	3340	72222
87	3374	72085
88	3417	72160
89	3457	72155
90	3495	72091
91	3532	72033
92	3565	71875
93	3599	71758
94	3633	71644
95	3659	71355
96	3699	71367
97	3732	71213
98	3766	71113
99	3798	70951
100	3831	70820
101	3867	70753
102	3893	70492
103	3927	70387
104	3959	70249
105	3990	70094
106	4031	70114
107	4066	70034
108	4100	69932
109	4130	69767
110	4174	69831
111	4215	69851
112	4244	69685
113	4288	69747
114	4321	69625
115	4354	69525
116	4385	69388
117	4412	69174
118	4445	69072
119	4471	68861
120	4499	68680
121	4538	68674
122	4567	68507
123	4598	68387
124	4626	68214
125	4653	68033
126	4680	67854
127	4712	67737
128	4745	67651
129	4774	67497
130	4804	67366
131	4833	67232
132	4863	67099
133	4893	66970
134	4927	66906
135	4968	66933
136	4993	66740
137	5025	66646
138	5055	66525
139	5089	66458
140	5128	66451
141	5150	66234
142	5189	66225
143	5218	66103
144	5259	66122
145	5293	66061
146	5331	66039
147	5359	65911
148	5387	65774
149	5424	65742
150	5467	65793
151	5495	65651
152	5521	65498
153	5552	65400
154	5582	65303
155	5603	65089
156	5642	65083
157	5681	65088
158	5714	65010
159	5751	64991
160	5788	64967
161	5815	64836
162	5840	64674
163	5864	64505
164	5905	64526
165	5940	64489
166	5967	64353
167	6000	64286
168	6031	64201
169	6058	64081
170	6084	63944
171	6113	63836
172	6140	63715
173	6162	63541
174	6206	63586
175	6239	63524
176	6258	63325
177	6283	63186
178	6319	63160
179	6346	63043
180	6377	62960
181	6416	62964
182	6432	62747
183	6464	62681
184	6496	62616
185	6527	62534
186	6559	62469
187	6585	62349
188	6607	62191
189	6626	62008
190	6647	61842
191	6675	61748
192	6703	61652
193	6731	61557
194	6771	61572
195	6803	61512
196	6832	61422
197	6862	61349
198	6890	61250
199	6921	61182
200	6953	61126
201	6984	61060
202	7020	61037
203	7058	61031
204	7099	61058
205	7131	60999
206	7163	60943
207	7190	60843
208	7221	60775
209	7246	60667
210	7268	60524
211	7303	60495
212	7334	60430
213	7354	60282
214	7392	60274
215	7416	60158
216	7450	60117
217	7480	60049
218	7515	60019
219	7535	59872
220	7556	59732
221	7590	59697
222	7631	59721
223	7669	59711
224	7698	59636
225	7732	59598
226	7756	59492
227	7789	59445
228	7814	59339
229	7850	59325
230	7870	59185
231	7898	59105
232	7922	58995
233	7944	58870
234	7973	58801
235	8002	58730
236	8033	58673
237	8070	58664
238	8096	58575
239	8129	58529
240	8150	58404
241	8177	58322
242	8219	58349
243	8245	58256
244	8270	58166
245	8311	58182
246	8341	58119
247	8363	58002
248	8389	57920
249	8429	57930
250	8447	57787
251	8465	57643
252	8491	57558
253	8523	57519
254	8551	57448
255	8588	57433
256	8619	57385
257	8649	57325
258	8672	57221
259	8708	57207
260	8729	57095
261	8757	57025
262	8781	56929
263	8812	56882
264	8839	56804
265	8872	56770
266	8894	56666
267	8928	56634
268	8961	56600
269	8987	56523
270	9015	56452
271	9049	56424
272	9066	56291
273	9086	56176
274	9119	56145
275	9146	56073
276	9174	56007
277	9202	55941
278	9227	55861
279	9262	55842
280	9298	55824
281	9321	55733
282	9355	55700
283	9383	55638
284	9414	55594
285	9437	55502
286	9462	55423
287	9487	55345
288	9515	55283
289	9537	55188
290	9567	55133
291	9601	55111
292	9635	55084
293	9665	55034
294	9705	55042
295	9727	54945
296	9747	54842
297	9769	54748
298	9795	54678
299	9819	54597
300	9844	54520
301	9861	54401
302	9894	54372
